acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,site
2022-01-30T18:32:24.493636Z,0.0,94,98,0.01,1,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-22T23:13:19Z,finalized,standard,181.7,2490,0,0,5342149,149.6,29.7,2022-10-22T23:13:19Z,0.1,80,99,20180831_182437_101b,scott_creek
2022-02-11T18:03:04.802054Z,0.0,96,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-10-21T18:38:30Z,finalized,standard,277.6,2440,0,0,5382986,140.1,29.4,2022-10-21T18:38:30Z,2.0,70,100,20180901_182534_1018,scott_creek
2022-02-25T18:47:50.155901Z,0.0,96,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-10-21T03:16:04Z,finalized,standard,275.4,2307,0,0,5432479,149.2,39.1,2022-10-21T03:16:04Z,3.0,96,100,20180907_182536_0f4e,scott_creek
2022-04-29T17:58:57.975827Z,0.0,99,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-20T10:12:55Z,finalized,standard,101.4,2458,0,0,5605862,120.4,54.4,2022-10-20T10:12:55Z,4.0,99,100,20180908_182305_0e3a,scott_creek
2022-10-08T17:53:33.885216Z,0.0,97,91,0.09,9,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-09T00:47:00Z,finalized,standard,104.1,2459,0,0,5990230,140.1,38.4,2022-10-09T09:57:41Z,2.0,75,91,20180909_181337_0f3c,scott_creek
2022-10-05T18:29:28.871019Z,0.0,95,75,0.25,25,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-06T02:19:44Z,finalized,standard,100.8,2477,0,0,5983045,149.9,43.5,2022-10-10T06:31:19Z,5.0,72,75,20180909_182244_0e2f,scott_creek
2022-10-03T18:30:23.277361Z,0.0,94,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-03T23:51:25Z,finalized,standard,101.5,2492,0,0,5977157,149.3,44.2,2022-10-04T09:57:40Z,5.0,63,100,20180910_182448_100c,scott_creek
2022-09-28T18:30:02.926179Z,0.0,97,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-29T01:43:42Z,finalized,standard,102.1,2479,0,0,5962580,147.5,45.8,2022-09-29T08:13:21Z,2.9,70,100,20180911_182526_1039,scott_creek
2022-09-27T18:45:23.70146Z,0.0,98,99,0.01,1,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-09-28T07:47:25Z,finalized,standard,100.7,2407,0,0,5960624,152.7,47.7,2022-09-28T13:31:55Z,4.9,71,99,20180912_181318_1054,scott_creek
2022-09-27T18:04:07.510257Z,0.0,94,86,0.13,13,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2022-09-27T23:08:33Z,finalized,standard,101.8,2212,0,0,5959733,139.1,42.9,2022-09-28T09:59:10Z,3.1,74,87,20180913_181213_104b,scott_creek
2022-09-22T17:56:29.328589Z,0.0,97,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-09-22T23:23:31Z,finalized,standard,277.1,2447,0,0,5947766,134.3,42.9,2022-09-23T09:59:34Z,5.0,81,100,20180913_182306_0e16,scott_creek
